hour	value
466765	47
466766	48
466767	48
466768	44
466769	45
466770	52
466771	57
466772	67
466773	84
466774	101
466775	110
466776	102
466777	110
466778	120
466779	119
466780	111
466781	104
466782	99
466783	96
466784	93
466785	83
466786	69
466787	62
466788	53
466789	43
466790	43
466791	43
466792	44
466793	47
466794	52
466795	57
466796	67
466797	77
466798	98
466799	96
466800	105
466801	116
466802	109
466803	111
466804	109
466805	101
466806	97
466807	100
466808	90
466809	85
466810	68
466811	54
466812	49
466813	45
466814	42
466815	42
466816	43
466817	45
466818	49
466819	54
466820	64
466821	78
466822	96
466823	91
466824	99
466825	108
466826	110
466827	106
466828	106
466829	93
466830	93
466831	87
466832	89
466833	76
466834	64
466835	52
466836	49
466837	41
466838	42
466839	40
466840	40
466841	40
466842	47
466843	53
466844	63
466845	76
466846	85
466847	98
466848	99
466849	104
466850	106
466851	101
466852	101
466853	93
466854	96
466855	85
466856	88
466857	75
466858	62
466859	56
466860	48
466861	44
466862	42
466863	44
466864	44
466865	43
466866	46
466867	55
466868	62
466869	75
466870	88
466871	97
466872	101
466873	105
466874	103
466875	103
466876	95
466877	102
466878	92
466879	90
466880	82
466881	78
466882	61
466883	57
