hour	value
462123	125
462124	117
462125	115
462126	113
462127	117
462128	103
462129	95
462130	74
462131	63
462132	56
462133	53
462134	51
462135	53
462136	55
462137	49
462138	60
462139	66
462140	70
462141	86
462142	104
462143	112
462144	128
462145	130
462146	124
462147	132
462148	121
462149	123
462150	123
462151	112
462152	100
462153	95
462154	78
462155	67
462156	63
462157	53
462158	53
462159	53
462160	53
462161	54
462162	60
462163	62
462164	77
462165	84
462166	110
462167	110
462168	128
462169	122
462170	123
462171	123
462172	125
462173	126
462174	119
462175	116
462176	101
462177	94
462178	76
462179	68
462180	60
462181	50
462182	54
462183	51
462184	52
462185	56
462186	58
462187	69
462188	76
462189	98
462190	106
462191	126
462192	119
462193	134
462194	141
462195	126
462196	136
462197	123
462198	130
462199	114
462200	110
462201	101
462202	84
462203	75
462204	65
462205	59
462206	55
462207	60
462208	57
462209	62
462210	65
462211	71
462212	81
462213	97
462214	118
462215	132
462216	131
462217	140
462218	144
462219	148
462220	130
462221	130
462222	122
462223	129
462224	119
462225	101
462226	84
462227	76
462228	64
462229	55
462230	53
462231	58
462232	55
462233	57
462234	67
462235	70
462236	83
462237	97
462238	118
462239	122
462240	139
462241	138
462242	130
462243	144
462244	138
462245	134
462246	123
462247	125
462248	111
462249	105
462250	76
462251	78
462252	62
462253	54
462254	56
462255	59
462256	58
462257	58
462258	63
462259	67
462260	80
462261	98
462262	120
462263	127
462264	124
462265	137
462266	142
462267	127
462268	129
462269	120
462270	121
462271	114
462272	107
462273	92
462274	74
462275	67
462276	60
462277	53
462278	52
462279	57
462280	57
462281	56
462282	63
462283	67
462284	74
462285	89
462286	107
462287	112
462288	125
462289	135
462290	122
462291	122
462292	124
462293	122
462294	112
462295	116
462296	109
462297	86
462298	78
462299	70
462300	62
462301	54
462302	48
462303	49
462304	52
462305	49
462306	56
462307	60
462308	73
462309	86
462310	114
462311	118
462312	122
462313	126
462314	122
462315	127
462316	127
462317	112
462318	110
462319	107
462320	108
462321	95
462322	72
462323	70
462324	58
462325	52
462326	50
462327	49
462328	52
462329	51
462330	53
462331	63
462332	75
462333	85
462334	114
462335	119
462336	117
462337	122
462338	124
462339	123
462340	125
462341	113
462342	121
462343	114
462344	99
462345	98
462346	77
462347	68
462348	60
462349	49
462350	47
462351	54
462352	54
462353	53
462354	54
462355	63
462356	74
462357	89
462358	104
462359	114
462360	122
462361	137
462362	125
462363	128
462364	132
462365	131
462366	119
462367	124
462368	108
462369	97
462370	80
462371	78
462372	67
462373	59
462374	58
462375	58
462376	59
462377	60
462378	63
462379	69
462380	82
462381	98
462382	121
462383	120
462384	124
462385	140
462386	139
462387	139
462388	132
462389	132
462390	131
462391	116
462392	107
462393	106
462394	79
462395	75
462396	67
462397	59
462398	59
462399	57
462400	54
462401	60
462402	58
462403	65
462404	85
462405	94
462406	112
462407	119
462408	129
462409	138
462410	131
462411	129
462412	124
462413	130
462414	132
462415	114
462416	104
462417	97
462418	80
462419	74
462420	66
462421	53
462422	59
462423	59
462424	55
462425	59
462426	63
462427	69
462428	77
462429	93
462430	122
462431	130
462432	121
462433	138
462434	133
462435	129
462436	121
462437	129
462438	127
462439	111
462440	112
462441	95
462442	77
462443	74
462444	58
462445	51
462446	56
462447	53
462448	52
462449	50
462450	58
462451	64
462452	77
462453	90
462454	115
462455	121
462456	129
462457	131
462458	126
462459	132
462460	123
462461	110
462462	109
462463	109
462464	96
462465	96
462466	69
462467	67
462468	57
462469	48
462470	48
462471	53
462472	54
462473	50
462474	53
462475	66
462476	76
462477	86
462478	104
462479	111
462480	123
462481	120
462482	127
462483	114
462484	126
462485	119
462486	107
462487	111
462488	107
462489	93
462490	75
462491	65
462492	55
462493	51
462494	49
462495	49
462496	48
462497	53
462498	59
462499	62
462500	75
462501	88
462502	103
462503	118
462504	111
462505	115
462506	124
462507	122
462508	120
462509	111
462510	114
462511	106
462512	100
462513	92
